model,average,calame_pt,lambada_pt,enem,bluex,oab_exams,assin2_rte,assin2_sts,faquad_nli,hatebr,hatespeech_pt,tweet_br,arc_pt,hellaswag_pt,truthfulqa
Granite-3.0-2b,54.9,56.36,47.55,54.51,45.2,40.46,83.72,60.46,43.97,55.81,68.12,67.6,42.56,60.05,42.23
Llama-3.2-3B,52.38,58.43,49.1,53.04,50.35,39.45,83.64,33.19,43.97,74.58,41.99,61.43,43.25,57.2,43.64
Gemma-2-2b,48.47,56.7,47.1,49.34,40.47,35.54,76.17,36.04,44.71,65.08,58.31,66.75,24.19,28.85,49.38
Gemma-2b,41.66,51.16,39.88,26.31,28.79,28.29,64.8,20.69,44.07,77.69,36.05,53.07,37.95,32.53,41.96
Llama-3.2-1B,38.67,51.83,41.02,23.37,24.2,25.88,50.77,19.48,43.97,59.43,38.57,42.34,33.5,45.44,41.63
Tucano-2b4,36.75,59.06,37.67,20.5,23.23,25.47,56.27,1.93,43.97,29.49,41.98,58.0,30.43,47.17,39.3
Tucano-1b1,36.45,58.24,34.7,21.41,23.37,25.97,60.82,24.63,43.97,29.0,41.19,32.18,30.43,42.84,41.59
Tucano-630m,34.16,56.55,33.13,19.17,24.76,25.28,57.79,1.99,43.97,53.73,30.01,20.73,28.89,39.41,42.76
Bloom-1b1,33.04,52.94,30.22,19.87,22.11,24.74,54.32,14.64,43.97,38.45,35.64,15.07,29.83,39.74,41.04
Bloom-1b7,32.88,55.64,31.98,18.96,21.42,23.05,53.6,4.81,43.97,34.89,41.23,15.07,30.34,43.52,41.86
Xglm-564m,31.42,50.58,27.42,19.03,19.75,23.55,49.9,23.35,43.97,33.99,24.9,20.73,25.56,34.64,42.53
TTL-460m,31.14,49.42,23.29,20.15,25.73,27.02,53.61,13.0,46.41,33.59,22.99,17.28,29.4,33.0,41.1
TTL-160m,29.86,46.72,20.98,19.24,23.09,22.37,53.97,0.24,43.97,36.92,42.63,11.39,26.15,29.29,41.12
Tucano-160m,29.52,52.31,28.16,19.03,22.11,25.1,33.51,11.02,43.97,36.56,22.99,16.86,27.01,33.07,41.53
Bloom-560m,29.19,49.95,25.44,19.03,18.92,23.05,33.33,8.48,43.97,37.07,24.29,20.74,24.74,37.15,42.44
GPorTuguese,25.14,40.61,22.98,19.31,21.42,3.14,33.59,3.44,43.97,33.33,22.99,13.62,22.48,29.62,41.44
mGPT-1b3,18.1,47.14,29.92,16.66,10.43,8.56,0.0,0.58,0.0,10.79,28.12,11.36,23.81,26.37,39.62
GlórIA-1b3,15.96,52.79,27.71,1.89,3.2,5.19,0.0,2.32,0.26,0.28,23.52,0.19,26.67,37.04,42.44
Lola-v1,11.19,26.4,18.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,30.42,45.61,35.54
