batch-16-acum-1,batch-16-acum-2,batch-4-acum-1,batch-32-acum-1,batch-4-acum-4,batch-8-acum-1,batch-2-acum-1,batch-2-acum-8
10.551998,10.551382,10.549995,10.550329,10.551998,10.552027,10.545052,10.551998
10.544107,10.551099,10.554059,10.551378,10.544107,10.552061,10.558704,10.544107
10.538989,10.552365,10.549291,10.553629,10.541393,10.547563,10.552686,10.541618
10.520845,10.5495,10.553837,10.550013,10.528805,10.548651,10.533403,10.529537
10.498801,10.547754,10.545608,10.550626,10.513531,10.547758,10.507611,10.514709
10.454626,10.548515,10.544525,10.548275,10.480536,10.547194,10.482252,10.482662
10.41975,10.543356,10.53772,10.538228,10.455664,10.543381,10.429035,10.458904
10.353943,10.540089,10.543154,10.534805,10.407301,10.540949,10.395834,10.411867
10.296503,10.53006,10.533035,10.527254,10.362514,10.538154,10.368603,10.367792
10.227716,10.531239,10.529491,10.516544,10.310267,10.525743,10.277536,10.317587
10.145416,10.518826,10.517456,10.505219,10.248851,10.519587,10.216405,10.257974
10.081821,10.501194,10.505358,10.4851,10.197765,10.497644,10.121002,10.208658
10.010667,10.490728,10.487297,10.471534,10.141111,10.480967,10.070466,10.152409
9.911193,10.479473,10.484888,10.451926,10.060394,10.467375,10.069589,10.074233
9.835756,10.459057,10.464598,10.434221,9.994654,10.451609,9.958569,10.010016
9.737471,10.443923,10.453285,10.407447,9.898087,10.42935,9.822481,9.914389
9.677173,10.422974,10.447396,10.393042,9.84232,10.414638,9.842535,9.85915
9.616089,10.400902,10.396505,10.343792,9.76936,10.384491,9.673287,9.786012
9.561874,10.360346,10.372318,10.287829,9.709854,10.332706,9.744634,9.726673
9.497548,10.325823,10.328239,10.231173,9.634033,10.29018,9.574976,9.650623
9.446527,10.287785,10.303726,10.187258,9.569151,10.259769,9.568549,9.583542
9.415009,10.234766,10.241522,10.130711,9.52733,10.207298,9.506655,9.540842
9.375881,10.179351,10.2033,10.061574,9.47523,10.135813,9.436548,9.487139
9.313448,10.146893,10.141378,10.027109,9.411785,10.086376,9.469978,9.422671
9.294101,10.081482,10.097459,9.961164,9.383715,10.031967,9.34034,9.393174
9.283886,10.03618,10.072319,9.91073,9.370003,9.99621,9.307096,9.380029
9.270077,9.963032,9.964426,9.841486,9.349346,9.903005,9.298279,9.359119
9.221931,9.909295,9.956505,9.782606,9.293308,9.871624,9.284809,9.301576
9.218454,9.86536,9.866467,9.741773,9.296078,9.812834,9.267429,9.30467
9.159456,9.806354,9.854681,9.69031,9.23243,9.781794,9.186788,9.239923
